assetName,lat,long,businessCategory,riskRating,riskFactors,year
Smith-Woods,50.26729,-119.27337,Finance,0.02,"{""Drought"": 0.02, ""Sea level rise"": 0.0, ""Wildfire"": 0.0, ""Volcano"": 0.0, ""Earthquake"": 0.0, ""Extreme heat"": 0.0, ""Hurricane"": 0.0}",2030
Stanton-Joyce,45.4473,-73.75335,Manufacturing,0.42,"{""Earthquake"": 0.15, ""Tornado"": 0.16, ""Hurricane"": 0.11}",2040
"Harrison, Meza and Rios",50.26729,-119.27337,Finance,0.31,"{""Extreme heat"": 0.03, ""Tornado"": 0.05, ""Hurricane"": 0.02, ""Sea level rise"": 0.0, ""Extreme cold"": 0.04, ""Flooding"": 0.04, ""Wildfire"": 0.05, ""Drought"": 0.05, ""Volcano"": 0.03}",2070
Gross PLC,45.44868,-73.81669,Retail,0.28,"{""Flooding"": 0.04, ""Extreme heat"": 0.01, ""Earthquake"": 0.05, ""Drought"": 0.04, ""Volcano"": 0.03, ""Hurricane"": 0.04, ""Sea level rise"": 0.01, ""Wildfire"": 0.01, ""Tornado"": 0.03, ""Extreme cold"": 0.02}",2070
"Hall, Meadows and Anderson",53.51684,-113.3187,Energy,0.69,"{""Wildfire"": 0.16, ""Drought"": 0.06, ""Tornado"": 0.0, ""Extreme cold"": 0.06, ""Volcano"": 0.16, ""Extreme heat"": 0.09, ""Earthquake"": 0.16}",2030
"Mcknight, Beasley and Stewart",45.40008,-73.58248,Technology,0.56,"{""Flooding"": 0.56}",2060
Rivera Inc,42.8334,-80.38297,Retail,0.84,"{""Drought"": 0.06999999999999999, ""Sea level rise"": 0.13, ""Extreme heat"": 0.11, ""Extreme cold"": 0.15, ""Wildfire"": 0.05, ""Tornado"": 0.02, ""Hurricane"": 0.16, ""Earthquake"": 0.15}",2060
Obrien-Oneill,46.1351,-60.1831,Technology,0.13,"{""Wildfire"": 0.01, ""Sea level rise"": 0.01, ""Drought"": 0.01, ""Extreme heat"": 0.02, ""Volcano"": 0.01, ""Flooding"": 0.0, ""Hurricane"": 0.01, ""Earthquake"": 0.02, ""Extreme cold"": 0.02, ""Tornado"": 0.02}",2050
Grant-Coffey,43.86682,-79.2663,Energy,0.72,"{""Earthquake"": 0.16999999999999998, ""Sea level rise"": 0.19, ""Flooding"": 0.09, ""Extreme cold"": 0.18, ""Wildfire"": 0.03, ""Hurricane"": 0.06}",2040
Norton-Spencer,49.88307,-119.48568,Healthcare,0.7,"{""Extreme heat"": 0.31, ""Earthquake"": 0.32, ""Hurricane"": 0.07}",2050
"Walker, Hogan and Mendez",49.88307,-119.48568,Energy,0.61,"{""Sea level rise"": 0.1, ""Flooding"": 0.02, ""Extreme cold"": 0.03, ""Earthquake"": 0.23, ""Extreme heat"": 0.13, ""Volcano"": 0.1}",2040
Williams Group,42.8334,-80.38297,Manufacturing,0.04,"{""Sea level rise"": 0.01, ""Volcano"": 0.0, ""Extreme heat"": 0.01, ""Drought"": 0.02}",2050
"Bender, Warren and Sanchez",45.4473,-73.75335,Technology,0.23,"{""Wildfire"": 0.23}",2060
Grant-Coffey,45.43341,-73.86586,Energy,0.02,"{""Sea level rise"": 0.02, ""Drought"": 0.0}",2040
Gross PLC,45.44868,-73.81669,Manufacturing,0.98,"{""Drought"": 0.08, ""Tornado"": 0.25, ""Earthquake"": 0.09, ""Extreme cold"": 0.15, ""Hurricane"": 0.05, ""Wildfire"": 0.09, ""Volcano"": 0.27}",2070
Waller Ltd,45.4473,-73.75335,Healthcare,0.04,"{""Wildfire"": 0.01, ""Extreme heat"": 0.0, ""Drought"": 0.0, ""Earthquake"": 0.01, ""Extreme cold"": 0.01, ""Volcano"": 0.0, ""Flooding"": 0.0, ""Hurricane"": 0.01}",2050
Duke Ltd,45.4473,-73.75335,Retail,0.4,"{""Extreme cold"": 0.29, ""Wildfire"": 0.01, ""Sea level rise"": 0.06, ""Drought"": 0.02, ""Tornado"": 0.02}",2040
Martin-Jenkins,45.43341,-73.86586,Finance,0.42,"{""Sea level rise"": 0.08, ""Hurricane"": 0.06, ""Extreme heat"": 0.11, ""Flooding"": 0.09, ""Tornado"": 0.0, ""Volcano"": 0.08}",2060
"Mejia, Roberts and Gay",46.1351,-60.1831,Retail,0.51,"{""Extreme heat"": 0.14, ""Earthquake"": 0.09, ""Drought"": 0.03, ""Volcano"": 0.1, ""Tornado"": 0.15}",2050
Patel-Brooks,45.44868,-73.81669,Finance,0.44,"{""Earthquake"": 0.04, ""Wildfire"": 0.1, ""Hurricane"": 0.07, ""Volcano"": 0.02, ""Sea level rise"": 0.07, ""Tornado"": 0.02, ""Flooding"": 0.12}",2040
"Marks, Garrett and Cummings",53.51684,-113.3187,Retail,0.07,"{""Wildfire"": 0.02, ""Extreme heat"": 0.01, ""Hurricane"": 0.01, ""Volcano"": 0.01, ""Sea level rise"": 0.02}",2050
Banks-Carlson,45.43341,-73.86586,Technology,0.39,"{""Wildfire"": 0.2, ""Drought"": 0.02, ""Extreme heat"": 0.17}",2050
"Wagner, Curry and Pearson",50.26729,-119.27337,Energy,0.82,"{""Wildfire"": 0.82}",2040
Miller-Norris,43.86682,-79.2663,Finance,0.58,"{""Flooding"": 0.11, ""Extreme cold"": 0.04, ""Earthquake"": 0.43}",2060
Gray-Evans,45.4473,-73.75335,Retail,0.89,"{""Volcano"": 0.59, ""Wildfire"": 0.3}",2060
"Rodriguez, Roberts and Fuller",46.23899,-63.13414,Retail,0.39,"{""Volcano"": 0.39}",2040
Gray-Evans,46.1351,-60.1831,Technology,0.85,"{""Tornado"": 0.29, ""Hurricane"": 0.56}",2050
Kemp-Anderson,45.40008,-73.58248,Technology,0.72,"{""Drought"": 0.03, ""Flooding"": 0.19, ""Hurricane"": 0.35, ""Wildfire"": 0.15}",2060
Park and Sons,49.88307,-119.48568,Technology,0.13,"{""Tornado"": 0.02, ""Extreme heat"": 0.02, ""Extreme cold"": 0.02, ""Flooding"": 0.02, ""Drought"": 0.02, ""Volcano"": 0.03, ""Hurricane"": 0.0}",2040
Reid-Sherman,45.40008,-73.58248,Healthcare,0.05,"{""Drought"": 0.02, ""Earthquake"": 0.0, ""Extreme heat"": 0.0, ""Hurricane"": 0.01, ""Flooding"": 0.01, ""Wildfire"": 0.01, ""Volcano"": 0.0, ""Extreme cold"": 0.0}",2070
Zuniga Inc,46.1351,-60.1831,Finance,0.67,"{""Earthquake"": 0.12, ""Volcano"": 0.12, ""Sea level rise"": 0.16, ""Extreme cold"": 0.11, ""Extreme heat"": 0.16}",2040
Alvarez Inc,45.44868,-73.81669,Technology,0.02,"{""Sea level rise"": 0.02}",2040
Park and Sons,42.8334,-80.38297,Healthcare,0.82,"{""Earthquake"": 0.14, ""Flooding"": 0.13, ""Wildfire"": 0.11, ""Extreme heat"": 0.24, ""Drought"": 0.2}",2070
Ware PLC,45.44868,-73.81669,Healthcare,0.38,"{""Earthquake"": 0.060000000000000005, ""Drought"": 0.03, ""Extreme cold"": 0.08, ""Flooding"": 0.07, ""Wildfire"": 0.07, ""Sea level rise"": 0.07}",2070
Jimenez-Gallegos,43.86682,-79.2663,Retail,0.54,"{""Volcano"": 0.01, ""Earthquake"": 0.11, ""Wildfire"": 0.06, ""Flooding"": 0.04, ""Sea level rise"": 0.13, ""Hurricane"": 0.0, ""Extreme cold"": 0.13, ""Extreme heat"": 0.06}",2030
Strickland-Daniels,50.26729,-119.27337,Healthcare,0.22,"{""Tornado"": 0.05, ""Flooding"": 0.02, ""Extreme heat"": 0.02, ""Wildfire"": 0.04, ""Earthquake"": 0.0, ""Sea level rise"": 0.03, ""Hurricane"": 0.03, ""Extreme cold"": 0.03}",2050
Flynn-Anderson,45.40008,-73.58248,Manufacturing,0.52,"{""Tornado"": 0.06, ""Volcano"": 0.03, ""Drought"": 0.05, ""Wildfire"": 0.01, ""Earthquake"": 0.1, ""Extreme cold"": 0.15, ""Extreme heat"": 0.12}",2070
Grant-Coffey,42.8334,-80.38297,Energy,0.72,"{""Volcano"": 0.05, ""Extreme heat"": 0.11, ""Earthquake"": 0.01, ""Hurricane"": 0.07, ""Tornado"": 0.02, ""Extreme cold"": 0.07, ""Drought"": 0.13, ""Wildfire"": 0.1, ""Flooding"": 0.12, ""Sea level rise"": 0.04}",2070
Norton-Spencer,45.43341,-73.86586,Healthcare,0.34,"{""Extreme heat"": 0.11, ""Hurricane"": 0.05, ""Extreme cold"": 0.1, ""Wildfire"": 0.08}",2070
Rivera Inc,45.40008,-73.58248,Finance,0.31,"{""Volcano"": 0.06, ""Drought"": 0.25}",2030
Pittman PLC,45.44868,-73.81669,Finance,0.98,"{""Sea level rise"": 0.1, ""Earthquake"": 0.02, ""Flooding"": 0.24, ""Drought"": 0.22, ""Hurricane"": 0.16, ""Volcano"": 0.05, ""Extreme heat"": 0.02, ""Wildfire"": 0.17, ""Extreme cold"": 0.0}",2030
Jimenez-Gallegos,43.86682,-79.2663,Technology,0.6,"{""Earthquake"": 0.16, ""Drought"": 0.22, ""Extreme cold"": 0.12, ""Volcano"": 0.1}",2040
Sullivan-Curtis,45.40008,-73.58248,Energy,0.22,"{""Tornado"": 0.03, ""Hurricane"": 0.02, ""Extreme heat"": 0.03, ""Drought"": 0.04, ""Flooding"": 0.03, ""Sea level rise"": 0.03, ""Volcano"": 0.0, ""Wildfire"": 0.02, ""Earthquake"": 0.01, ""Extreme cold"": 0.01}",2070
Gross PLC,45.4473,-73.75335,Energy,0.11,"{""Wildfire"": 0.11}",2050
Park and Sons,45.4473,-73.75335,Manufacturing,0.99,"{""Sea level rise"": 0.99}",2050
Perez-Robertson,53.51684,-113.3187,Finance,0.11,"{""Tornado"": 0.049999999999999996, ""Sea level rise"": 0.06}",2050
Alvarez Inc,45.44868,-73.81669,Finance,0.3,"{""Sea level rise"": 0.3}",2040
"Watson, Evans and Smith",45.44868,-73.81669,Manufacturing,0.62,"{""Hurricane"": 0.15, ""Earthquake"": 0.04, ""Sea level rise"": 0.11, ""Extreme cold"": 0.15, ""Extreme heat"": 0.11, ""Wildfire"": 0.06}",2060
"Mcknight, Beasley and Stewart",46.23899,-63.13414,Energy,0.08,"{""Wildfire"": 0.08}",2040
"Mcpherson, Simmons and Simpson",42.8334,-80.38297,Finance,0.01,"{""Extreme heat"": 0.01, ""Extreme cold"": 0.0, ""Wildfire"": 0.0, ""Volcano"": 0.0, ""Drought"": 0.0, ""Earthquake"": 0.0, ""Flooding"": 0.0}",2030
Willis-Newman,43.86682,-79.2663,Retail,0.21,"{""Sea level rise"": 0.05, ""Wildfire"": 0.02, ""Drought"": 0.04, ""Volcano"": 0.05, ""Hurricane"": 0.02, ""Extreme heat"": 0.03}",2040
Rivera Inc,49.88307,-119.48568,Healthcare,0.89,"{""Drought"": 0.29, ""Flooding"": 0.13, ""Sea level rise"": 0.31, ""Wildfire"": 0.04, ""Extreme cold"": 0.09, ""Earthquake"": 0.03}",2070
Foster-Flores,49.88307,-119.48568,Finance,0.14,"{""Extreme cold"": 0.14}",2030
"Rodriguez, Roberts and Fuller",50.26729,-119.27337,Technology,0.92,"{""Extreme cold"": 0.05, ""Tornado"": 0.1, ""Drought"": 0.21, ""Flooding"": 0.12, ""Wildfire"": 0.09, ""Sea level rise"": 0.07, ""Earthquake"": 0.18, ""Volcano"": 0.1}",2050
"Patel, Norris and Jackson",45.4473,-73.75335,Healthcare,0.19,"{""Hurricane"": 0.07, ""Earthquake"": 0.02, ""Drought"": 0.06, ""Sea level rise"": 0.04}",2050
"Rodriguez, Roberts and Fuller",45.43341,-73.86586,Healthcare,0.57,"{""Flooding"": 0.06999999999999999, ""Extreme heat"": 0.1, ""Extreme cold"": 0.04, ""Hurricane"": 0.15, ""Earthquake"": 0.01, ""Wildfire"": 0.11, ""Volcano"": 0.09}",2070
Strickland-Daniels,53.51684,-113.3187,Retail,0.61,"{""Hurricane"": 0.09000000000000001, ""Earthquake"": 0.22, ""Tornado"": 0.3}",2070
Reid PLC,42.8334,-80.38297,Manufacturing,0.45,"{""Extreme cold"": 0.07, ""Tornado"": 0.08, ""Wildfire"": 0.06, ""Drought"": 0.1, ""Volcano"": 0.03, ""Extreme heat"": 0.11}",2030
"Thompson, Davis and Brown",45.44868,-73.81669,Energy,0.56,"{""Wildfire"": 0.07, ""Tornado"": 0.05, ""Earthquake"": 0.06, ""Sea level rise"": 0.07, ""Hurricane"": 0.02, ""Volcano"": 0.05, ""Drought"": 0.06, ""Flooding"": 0.07, ""Extreme cold"": 0.07, ""Extreme heat"": 0.04}",2050
Sullivan-Curtis,45.43341,-73.86586,Technology,0.09,"{""Sea level rise"": 0.02, ""Volcano"": 0.01, ""Drought"": 0.02, ""Hurricane"": 0.04}",2040
Gray-Evans,46.23899,-63.13414,Healthcare,0.63,"{""Earthquake"": 0.04, ""Extreme heat"": 0.1, ""Sea level rise"": 0.06, ""Volcano"": 0.03, ""Hurricane"": 0.11, ""Tornado"": 0.17, ""Drought"": 0.02, ""Extreme cold"": 0.09, ""Flooding"": 0.01}",2070
"Hall, Meadows and Anderson",45.40008,-73.58248,Energy,0.65,"{""Tornado"": 0.51, ""Flooding"": 0.14}",2050
Wiley Ltd,46.1351,-60.1831,Healthcare,0.91,"{""Volcano"": 0.91}",2040
Robertson-Petersen,53.51684,-113.3187,Healthcare,0.98,"{""Wildfire"": 0.98}",2070
Obrien-Oneill,53.51684,-113.3187,Technology,0.54,"{""Earthquake"": 0.17, ""Volcano"": 0.11, ""Wildfire"": 0.16, ""Flooding"": 0.04, ""Tornado"": 0.06}",2040
Torres-Sanchez,50.26729,-119.27337,Healthcare,0.99,"{""Tornado"": 0.43, ""Volcano"": 0.27, ""Earthquake"": 0.29}",2060
Perez-Robertson,45.44868,-73.81669,Technology,0.51,"{""Wildfire"": 0.06, ""Sea level rise"": 0.2, ""Flooding"": 0.15, ""Extreme cold"": 0.1}",2070
Perez-Robertson,42.8334,-80.38297,Retail,0.81,"{""Extreme cold"": 0.18, ""Sea level rise"": 0.09, ""Hurricane"": 0.1, ""Volcano"": 0.1, ""Wildfire"": 0.06, ""Tornado"": 0.2, ""Earthquake"": 0.08}",2040
Horne and Sons,43.86682,-79.2663,Manufacturing,0.8,"{""Volcano"": 0.09, ""Sea level rise"": 0.01, ""Wildfire"": 0.04, ""Extreme heat"": 0.14, ""Earthquake"": 0.14, ""Extreme cold"": 0.06, ""Flooding"": 0.06, ""Hurricane"": 0.13, ""Tornado"": 0.13}",2060
"Mcpherson, Simmons and Simpson",49.88307,-119.48568,Healthcare,0.66,"{""Hurricane"": 0.01, ""Earthquake"": 0.08, ""Volcano"": 0.22, ""Extreme heat"": 0.23, ""Tornado"": 0.12}",2070
Vega-Huffman,46.1351,-60.1831,Healthcare,0.4,"{""Hurricane"": 0.08, ""Earthquake"": 0.06, ""Sea level rise"": 0.15, ""Extreme heat"": 0.11}",2040
Gray-Evans,53.51684,-113.3187,Manufacturing,0.65,"{""Wildfire"": 0.13999999999999999, ""Tornado"": 0.12, ""Flooding"": 0.16, ""Extreme cold"": 0.08, ""Drought"": 0.08, ""Extreme heat"": 0.07}",2040
"Thompson, Davis and Brown",50.26729,-119.27337,Finance,0.08,"{""Hurricane"": 0.02, ""Tornado"": 0.02, ""Extreme heat"": 0.02, ""Sea level rise"": 0.01, ""Drought"": 0.01}",2070
"Mejia, Roberts and Gay",43.86682,-79.2663,Manufacturing,0.84,"{""Extreme heat"": 0.08, ""Wildfire"": 0.02, ""Tornado"": 0.05, ""Earthquake"": 0.03, ""Volcano"": 0.18, ""Drought"": 0.17, ""Flooding"": 0.03, ""Hurricane"": 0.18, ""Sea level rise"": 0.01, ""Extreme cold"": 0.09}",2070
Campos and Sons,46.1351,-60.1831,Finance,0.98,"{""Sea level rise"": 0.5, ""Hurricane"": 0.45, ""Drought"": 0.03}",2030
Smith-Woods,43.86682,-79.2663,Energy,0.44,"{""Tornado"": 0.04, ""Wildfire"": 0.1, ""Drought"": 0.24, ""Sea level rise"": 0.05, ""Hurricane"": 0.01}",2040
"Bender, Warren and Sanchez",45.40008,-73.58248,Healthcare,0.14,"{""Hurricane"": 0.04, ""Sea level rise"": 0.05, ""Flooding"": 0.01, ""Earthquake"": 0.01, ""Wildfire"": 0.03}",2070
Pittman PLC,45.43341,-73.86586,Finance,0.08,"{""Extreme cold"": 0.03, ""Volcano"": 0.01, ""Earthquake"": 0.01, ""Drought"": 0.02, ""Wildfire"": 0.01}",2030
Miller-Norris,42.8334,-80.38297,Technology,0.88,"{""Flooding"": 0.1, ""Drought"": 0.22, ""Hurricane"": 0.17, ""Wildfire"": 0.17, ""Tornado"": 0.0, ""Volcano"": 0.01, ""Extreme heat"": 0.21}",2040
Robertson-Petersen,45.44868,-73.81669,Retail,0.86,"{""Wildfire"": 0.86}",2070
Alvarez Inc,42.8334,-80.38297,Energy,0.56,"{""Hurricane"": 0.18, ""Earthquake"": 0.01, ""Wildfire"": 0.1, ""Tornado"": 0.1, ""Extreme heat"": 0.15, ""Sea level rise"": 0.02, ""Volcano"": 0.0}",2060
"Harrison, Meza and Rios",50.26729,-119.27337,Technology,0.45,"{""Tornado"": 0.06, ""Wildfire"": 0.06, ""Flooding"": 0.08, ""Volcano"": 0.09, ""Extreme cold"": 0.05, ""Sea level rise"": 0.09, ""Extreme heat"": 0.02}",2030
Vega-Huffman,45.44868,-73.81669,Energy,0.69,"{""Extreme heat"": 0.06, ""Flooding"": 0.63}",2030
"Clarke, Lutz and Farrell",45.4473,-73.75335,Manufacturing,0.71,"{""Drought"": 0.45, ""Hurricane"": 0.26}",2050
"Rodriguez, Roberts and Fuller",45.43341,-73.86586,Manufacturing,0.29,"{""Extreme heat"": 0.01, ""Flooding"": 0.11, ""Drought"": 0.09, ""Wildfire"": 0.07, ""Earthquake"": 0.01}",2040
Jones Ltd,45.4473,-73.75335,Energy,0.43,"{""Volcano"": 0.03, ""Wildfire"": 0.08, ""Earthquake"": 0.04, ""Extreme cold"": 0.08, ""Flooding"": 0.09, ""Hurricane"": 0.03, ""Drought"": 0.02, ""Tornado"": 0.06}",2050
"Mcknight, Beasley and Stewart",46.1351,-60.1831,Healthcare,0.69,"{""Extreme heat"": 0.07, ""Flooding"": 0.13, ""Hurricane"": 0.13, ""Extreme cold"": 0.03, ""Wildfire"": 0.11, ""Earthquake"": 0.08, ""Drought"": 0.03, ""Volcano"": 0.04, ""Tornado"": 0.07}",2030
Acevedo-Kennedy,46.23899,-63.13414,Energy,0.52,"{""Flooding"": 0.12, ""Volcano"": 0.06, ""Earthquake"": 0.14, ""Drought"": 0.07, ""Sea level rise"": 0.05, ""Wildfire"": 0.04, ""Extreme cold"": 0.01, ""Tornado"": 0.03}",2030
"Hooper, Evans and Merritt",46.23899,-63.13414,Manufacturing,0.73,"{""Earthquake"": 0.01, ""Extreme cold"": 0.16, ""Sea level rise"": 0.15, ""Wildfire"": 0.25, ""Extreme heat"": 0.14, ""Drought"": 0.01, ""Flooding"": 0.01}",2050
"Taylor, Mitchell and Ward",45.43341,-73.86586,Energy,0.18,"{""Wildfire"": 0.0, ""Drought"": 0.06, ""Hurricane"": 0.04, ""Extreme cold"": 0.0, ""Volcano"": 0.04, ""Earthquake"": 0.04}",2030
Banks-Carlson,42.8334,-80.38297,Manufacturing,0.73,"{""Tornado"": 0.09, ""Wildfire"": 0.03, ""Extreme heat"": 0.01, ""Volcano"": 0.08, ""Sea level rise"": 0.17, ""Extreme cold"": 0.03, ""Drought"": 0.14, ""Hurricane"": 0.11, ""Flooding"": 0.07}",2060
"Watson, Evans and Smith",45.44868,-73.81669,Manufacturing,0.74,"{""Hurricane"": 0.2, ""Earthquake"": 0.12, ""Drought"": 0.04, ""Wildfire"": 0.22, ""Extreme heat"": 0.1, ""Extreme cold"": 0.06}",2040
"Hall, Meadows and Anderson",46.23899,-63.13414,Manufacturing,0.69,"{""Flooding"": 0.09000000000000001, ""Tornado"": 0.16, ""Wildfire"": 0.06, ""Drought"": 0.05, ""Earthquake"": 0.15, ""Volcano"": 0.12, ""Sea level rise"": 0.06}",2040
Perez-Robertson,42.8334,-80.38297,Energy,0.26,"{""Extreme heat"": 0.18, ""Tornado"": 0.08}",2060
"Walker, Hogan and Mendez",53.51684,-113.3187,Healthcare,0.66,"{""Earthquake"": 0.07, ""Extreme heat"": 0.14, ""Tornado"": 0.24, ""Wildfire"": 0.13, ""Drought"": 0.08}",2070
Horne and Sons,45.4473,-73.75335,Retail,0.5,"{""Sea level rise"": 0.06999999999999999, ""Earthquake"": 0.08, ""Hurricane"": 0.05, ""Drought"": 0.06, ""Extreme heat"": 0.06, ""Flooding"": 0.04, ""Wildfire"": 0.02, ""Volcano"": 0.01, ""Tornado"": 0.0, ""Extreme cold"": 0.11}",2070
Willis-Newman,45.4473,-73.75335,Finance,0.6,"{""Tornado"": 0.6}",2070
Stanton-Joyce,42.8334,-80.38297,Healthcare,0.73,"{""Wildfire"": 0.060000000000000005, ""Earthquake"": 0.05, ""Extreme heat"": 0.11, ""Tornado"": 0.07, ""Drought"": 0.11, ""Sea level rise"": 0.02, ""Volcano"": 0.1, ""Flooding"": 0.09, ""Hurricane"": 0.02, ""Extreme cold"": 0.1}",2050
Flynn-Anderson,46.1351,-60.1831,Technology,0.76,"{""Flooding"": 0.76}",2060
Patel-Brooks,43.86682,-79.2663,Healthcare,0.99,"{""Extreme cold"": 0.99}",2030
Perez-Robertson,53.51684,-113.3187,Retail,0.71,"{""Volcano"": 0.65, ""Extreme heat"": 0.06}",2050
"Hall, Meadows and Anderson",46.1351,-60.1831,Finance,0.16,"{""Flooding"": 0.05, ""Tornado"": 0.04, ""Sea level rise"": 0.02, ""Hurricane"": 0.05}",2070
Campos and Sons,45.43341,-73.86586,Healthcare,0.65,"{""Sea level rise"": 0.18, ""Extreme heat"": 0.23, ""Earthquake"": 0.24}",2070
Willis-Newman,46.23899,-63.13414,Energy,0.81,"{""Extreme cold"": 0.01, ""Hurricane"": 0.18, ""Volcano"": 0.23, ""Extreme heat"": 0.21, ""Flooding"": 0.18}",2070
"Mejia, Roberts and Gay",45.44868,-73.81669,Healthcare,0.6,"{""Extreme heat"": 0.06999999999999999, ""Wildfire"": 0.06, ""Tornado"": 0.02, ""Volcano"": 0.09, ""Earthquake"": 0.02, ""Flooding"": 0.07, ""Hurricane"": 0.09, ""Extreme cold"": 0.08, ""Sea level rise"": 0.0, ""Drought"": 0.1}",2030
Smith-Woods,49.88307,-119.48568,Manufacturing,0.69,"{""Tornado"": 0.19, ""Drought"": 0.07, ""Hurricane"": 0.26, ""Earthquake"": 0.01, ""Sea level rise"": 0.16}",2070
Good-Lewis,42.8334,-80.38297,Finance,0.74,"{""Hurricane"": 0.06, ""Tornado"": 0.23, ""Wildfire"": 0.45}",2030
"Washington, Rogers and Morrison",45.4473,-73.75335,Energy,0.31,"{""Extreme cold"": 0.04, ""Tornado"": 0.1, ""Sea level rise"": 0.14, ""Volcano"": 0.03}",2060
"Mejia, Roberts and Gay",42.8334,-80.38297,Healthcare,0.71,"{""Tornado"": 0.12, ""Extreme heat"": 0.15, ""Wildfire"": 0.11, ""Earthquake"": 0.05, ""Flooding"": 0.12, ""Extreme cold"": 0.16}",2040
"Patel, Norris and Jackson",49.88307,-119.48568,Technology,0.48,"{""Earthquake"": 0.48}",2050
"Patel, Norris and Jackson",42.8334,-80.38297,Technology,0.05,"{""Extreme heat"": 0.02, ""Flooding"": 0.02, ""Hurricane"": 0.0, ""Extreme cold"": 0.01}",2040
Torres-Sanchez,46.23899,-63.13414,Finance,0.66,"{""Volcano"": 0.1, ""Earthquake"": 0.1, ""Tornado"": 0.07, ""Wildfire"": 0.08, ""Flooding"": 0.14, ""Drought"": 0.1, ""Extreme cold"": 0.07}",2070
Obrien-Oneill,45.44868,-73.81669,Energy,0.95,"{""Drought"": 0.21, ""Flooding"": 0.17, ""Extreme heat"": 0.08, ""Sea level rise"": 0.21, ""Extreme cold"": 0.21, ""Volcano"": 0.07}",2040
Foster-Flores,50.26729,-119.27337,Finance,0.63,"{""Extreme cold"": 0.049999999999999996, ""Earthquake"": 0.04, ""Volcano"": 0.07, ""Drought"": 0.03, ""Hurricane"": 0.11, ""Wildfire"": 0.12, ""Sea level rise"": 0.03, ""Flooding"": 0.06, ""Tornado"": 0.06, ""Extreme heat"": 0.06}",2040
Grant-Coffey,46.23899,-63.13414,Energy,0.19,"{""Extreme cold"": 0.04, ""Earthquake"": 0.01, ""Tornado"": 0.05, ""Wildfire"": 0.02, ""Extreme heat"": 0.01, ""Sea level rise"": 0.0, ""Volcano"": 0.02, ""Drought"": 0.02, ""Flooding"": 0.02}",2050
"Harrison, Meza and Rios",49.88307,-119.48568,Technology,0.24,"{""Wildfire"": 0.11, ""Tornado"": 0.01, ""Drought"": 0.11, ""Sea level rise"": 0.01, ""Earthquake"": 0.0}",2030
"Harrison, Meza and Rios",53.51684,-113.3187,Manufacturing,0.38,"{""Volcano"": 0.03, ""Tornado"": 0.07, ""Earthquake"": 0.08, ""Drought"": 0.03, ""Extreme cold"": 0.03, ""Flooding"": 0.06, ""Hurricane"": 0.06, ""Sea level rise"": 0.02}",2070
Acevedo-Kennedy,42.8334,-80.38297,Technology,0.2,"{""Sea level rise"": 0.2}",2040
"Mejia, Roberts and Gay",45.40008,-73.58248,Finance,0.82,"{""Flooding"": 0.82}",2030
Horne and Sons,53.51684,-113.3187,Finance,0.89,"{""Sea level rise"": 0.07, ""Extreme cold"": 0.1, ""Hurricane"": 0.05, ""Earthquake"": 0.23, ""Volcano"": 0.04, ""Tornado"": 0.27, ""Wildfire"": 0.13}",2050
"Landry, Molina and Green",45.44868,-73.81669,Technology,0.05,"{""Flooding"": 0.0, ""Extreme cold"": 0.01, ""Volcano"": 0.01, ""Extreme heat"": 0.02, ""Earthquake"": 0.01}",2050
"Mcpherson, Simmons and Simpson",45.40008,-73.58248,Healthcare,0.89,"{""Drought"": 0.89}",2030
Strickland-Daniels,49.88307,-119.48568,Finance,0.51,"{""Flooding"": 0.09, ""Extreme heat"": 0.06, ""Volcano"": 0.02, ""Hurricane"": 0.07, ""Wildfire"": 0.01, ""Drought"": 0.09, ""Earthquake"": 0.06, ""Tornado"": 0.06, ""Sea level rise"": 0.05}",2030
Patel-Brooks,50.26729,-119.27337,Manufacturing,0.81,"{""Hurricane"": 0.81}",2030
Torres-Sanchez,42.8334,-80.38297,Retail,0.68,"{""Volcano"": 0.07, ""Wildfire"": 0.1, ""Extreme heat"": 0.04, ""Earthquake"": 0.17, ""Sea level rise"": 0.08, ""Drought"": 0.08, ""Extreme cold"": 0.07, ""Flooding"": 0.07}",2030
Foster-Flores,49.88307,-119.48568,Manufacturing,0.02,"{""Extreme cold"": 0.02, ""Extreme heat"": 0.0, ""Volcano"": 0.0, ""Drought"": 0.0, ""Flooding"": 0.0, ""Hurricane"": 0.0}",2050
"Davis, Allen and Rivera",50.26729,-119.27337,Technology,0.01,"{""Hurricane"": 0.01, ""Extreme cold"": 0.0, ""Volcano"": 0.0, ""Tornado"": 0.0, ""Earthquake"": 0.0, ""Drought"": 0.0, ""Wildfire"": 0.0, ""Extreme heat"": 0.0, ""Flooding"": 0.0}",2040
Anderson Group,45.4473,-73.75335,Technology,0.78,"{""Earthquake"": 0.07, ""Wildfire"": 0.07, ""Volcano"": 0.11, ""Drought"": 0.0, ""Flooding"": 0.06, ""Sea level rise"": 0.17, ""Extreme heat"": 0.06, ""Hurricane"": 0.24}",2060
Jimenez-Gallegos,45.40008,-73.58248,Energy,0.46,"{""Extreme cold"": 0.07, ""Wildfire"": 0.11, ""Tornado"": 0.04, ""Drought"": 0.02, ""Sea level rise"": 0.12, ""Extreme heat"": 0.05, ""Volcano"": 0.05}",2040
